#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,bc,"is used for a dropdown calculator."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,gnome-keyring,"serves as the system keyring."
,noto-fonts-emoji,"is an emoji font."
A,ttf-meslo-nerd-font-powerlevel10k,"is a powerlevel10k theme."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,unclutter,"hides an inactive mouse."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xrandr,"enables changing screen resolution."
,picom,"is a compositor."
,alacritty,"is a terminal emulator."
,qtile,"is a window manager."
P,psutil,"is a python package manages import of qtile."
,pavucontrol,"is a volume control cli tool."
,rofi,"is a window manager."
,dmenu,"is a window manager."
,neofetch,"is a system information tool."
,feh,"is a system image viewer."
,lxappearance,"is a GTK+ theme manager."
,scrot,"is a screen capture utility."
,volumeicon,"is a GTK+ volume control."
,exa,"is a interactive colorful ls."
,brightnessctl,"is a brightness control utility."
,playerctl,"is a media player control utility."
A,redshift,"is a screen brightness control utility."
,pcmanfm,"is a file manager."
,vim,"is a text editor."
A,plymouth-git,"is a bootscreen image loader."
A,plymouth-theme-cuts-git,"is a theme for plymouth."
A,lf,"is a terminal file manager."
,ueberzug,"is a terminal picture viewer."
,udiskie,"is a utility for mounting usb devices."
,network-manager-applet,"is a network manager."
,starship,"advanced terminal command prompt."
P,dragon-drag-and-drop,"enables drag drop files in terminal."
,pywal,"extracts colors from wallpaper and applies theme."
,broot,"broot search for file searching in lf."
